idMso,Label,BitmapPath,PngPath,Source
BordersGallery,BordersGallery,E:\Sripts\Leaner tracking\Practical\Images\Word\BordersGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\BordersGallery.png,Local Word VBA GetImageMso:BordersGallery
BreaksGallery,Breaks,E:\Sripts\Leaner tracking\Practical\Images\Word\BreaksGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\BreaksGallery.png,Local Word VBA GetImageMso:BreaksGallery
Bullets,Bullets,E:\Sripts\Leaner tracking\Practical\Images\Word\Bullets.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\Bullets.png,Local Word VBA GetImageMso:Bullets
CaptionInsert,Insert Caption...,E:\Sripts\Leaner tracking\Practical\Images\Word\CaptionInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\CaptionInsert.png,Local Word VBA GetImageMso:CaptionInsert
ChangeCaseGallery,Change Case,E:\Sripts\Leaner tracking\Practical\Images\Word\ChangeCaseGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ChangeCaseGallery.png,Local Word VBA GetImageMso:ChangeCaseGallery
ChartInsert,Chart...,E:\Sripts\Leaner tracking\Practical\Images\Word\ChartInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ChartInsert.png,Local Word VBA GetImageMso:ChartInsert
CitationInsert,Insert Citation,E:\Sripts\Leaner tracking\Practical\Images\Word\CitationInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\CitationInsert.png,Local Word VBA GetImageMso:CitationInsert
CitationsManageSources,Manage Sources...,E:\Sripts\Leaner tracking\Practical\Images\Word\CitationsManageSources.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\CitationsManageSources.png,Local Word VBA GetImageMso:BibliographyManageSources
ClearFormatting,Clear Formatting,E:\Sripts\Leaner tracking\Practical\Images\Word\ClearFormatting.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ClearFormatting.png,Local Word VBA GetImageMso:ClearFormatting
ColumnsGallery,More Columns...,E:\Sripts\Leaner tracking\Practical\Images\Word\ColumnsGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ColumnsGallery.png,Local Word VBA GetImageMso:ColumnsDialog
ComAddIns,COM Add-ins...,E:\Sripts\Leaner tracking\Practical\Images\Word\ComAddIns.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ComAddIns.png,Local Word VBA GetImageMso:ComAddInsDialog
CompareDocuments,Compare & Combine,E:\Sripts\Leaner tracking\Practical\Images\Word\CompareDocuments.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\CompareDocuments.png,Local Word VBA GetImageMso:CompareAndCombine
ContentControlBuildingBlockGallery,Building Block Gallery Content Control,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlBuildingBlockGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlBuildingBlockGallery.png,Local Word VBA GetImageMso:ContentControlBuildingBlockGallery
ContentControlCheckBox,Checkbox Content Control,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlCheckBox.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlCheckBox.png,Local Word VBA GetImageMso:ContentControlCheckBox
ContentControlComboBox,Combo Box Content Control,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlComboBox.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlComboBox.png,Local Word VBA GetImageMso:ContentControlComboBox
ContentControlDatePicker,Date Picker Content Control,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlDatePicker.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlDatePicker.png,Local Word VBA GetImageMso:ContentControlDate
ContentControlDropDownList,Drop-Down List Content Control,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlDropDownList.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlDropDownList.png,Local Word VBA GetImageMso:ContentControlDropDownList
ContentControlGroup,Group,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlGroup.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlGroup.png,Local Word VBA GetImageMso:ObjectsGroup
ContentControlPicture,Picture Content Control,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlPicture.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlPicture.png,Local Word VBA GetImageMso:ContentControlPicture
ContentControlProperties,Property Sheet,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlProperties.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlProperties.png,Local Word VBA GetImageMso:PropertySheet
ContentControlRichText,Rich Text Content Control,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlRichText.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlRichText.png,Local Word VBA GetImageMso:ContentControlRichText
ContentControlText,Plain Text Content Control,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlText.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ContentControlText.png,Local Word VBA GetImageMso:ContentControlText
Copy,Copy,E:\Sripts\Leaner tracking\Practical\Images\Word\Copy.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\Copy.png,Local Word VBA GetImageMso:Copy
CoverPageInsertGallery,Cover Page,E:\Sripts\Leaner tracking\Practical\Images\Word\CoverPageInsertGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\CoverPageInsertGallery.png,Local Word VBA GetImageMso:CoverPageInsertGallery
CrossReferenceInsert,Cross-reference...,E:\Sripts\Leaner tracking\Practical\Images\Word\CrossReferenceInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\CrossReferenceInsert.png,Local Word VBA GetImageMso:CrossReferenceInsert
Cut,Cut,E:\Sripts\Leaner tracking\Practical\Images\Word\Cut.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\Cut.png,Local Word VBA GetImageMso:Cut
DateAndTimeInsert,Date & Time...,E:\Sripts\Leaner tracking\Practical\Images\Word\DateAndTimeInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\DateAndTimeInsert.png,Local Word VBA GetImageMso:DateAndTimeInsert
DeleteComment,Delete,E:\Sripts\Leaner tracking\Practical\Images\Word\DeleteComment.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\DeleteComment.png,Local Word VBA GetImageMso:ReviewDeleteComment
DesignMode,Design Mode,E:\Sripts\Leaner tracking\Practical\Images\Word\DesignMode.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\DesignMode.png,Local Word VBA GetImageMso:DesignMode
DocumentTemplate,Document Template,E:\Sripts\Leaner tracking\Practical\Images\Word\DocumentTemplate.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\DocumentTemplate.png,Local Word VBA GetImageMso:DocumentTemplate
DropCapInsertGallery,Drop Cap,E:\Sripts\Leaner tracking\Practical\Images\Word\DropCapInsertGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\DropCapInsertGallery.png,Local Word VBA GetImageMso:DropCapInsertGallery
EndnoteInsert,Insert Footnote,E:\Sripts\Leaner tracking\Practical\Images\Word\EndnoteInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\EndnoteInsert.png,Local Word VBA GetImageMso:FootnoteInsert
EnvelopesAndLabelsDialog,Envelopes...,E:\Sripts\Leaner tracking\Practical\Images\Word\EnvelopesAndLabelsDialog.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\EnvelopesAndLabelsDialog.png,Local Word VBA GetImageMso:EnvelopesAndLabelsDialog
EquationInsertNew,Insert New Equation,E:\Sripts\Leaner tracking\Practical\Images\Word\EquationInsertNew.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\EquationInsertNew.png,Local Word VBA GetImageMso:EquationInsertNew
FindDialog,Find...,E:\Sripts\Leaner tracking\Practical\Images\Word\FindDialog.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\FindDialog.png,Local Word VBA GetImageMso:FindDialog
FontColorPicker,Font Colour,E:\Sripts\Leaner tracking\Practical\Images\Word\FontColorPicker.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\FontColorPicker.png,Local Word VBA GetImageMso:FontColorPicker
FontSizeDecrease,FontSizeDecrease,E:\Sripts\Leaner tracking\Practical\Images\Word\FontSizeDecrease.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\FontSizeDecrease.png,Local Word VBA GetImageMso:FontSizeDecrease
FontSizeIncrease,FontSizeIncrease,E:\Sripts\Leaner tracking\Practical\Images\Word\FontSizeIncrease.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\FontSizeIncrease.png,Local Word VBA GetImageMso:FontSizeIncrease
FooterInsertGallery,Footer,E:\Sripts\Leaner tracking\Practical\Images\Word\FooterInsertGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\FooterInsertGallery.png,Local Word VBA GetImageMso:FooterInsertGallery
FootnoteInsert,Insert Footnote,E:\Sripts\Leaner tracking\Practical\Images\Word\FootnoteInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\FootnoteInsert.png,Local Word VBA GetImageMso:FootnoteInsert
FootnotesShow,Show Notes,E:\Sripts\Leaner tracking\Practical\Images\Word\FootnotesShow.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\FootnotesShow.png,Local Word VBA GetImageMso:FootnotesEndnotesShow
FormatPainter,Format Painter,E:\Sripts\Leaner tracking\Practical\Images\Word\FormatPainter.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\FormatPainter.png,Local Word VBA GetImageMso:FormatPainter
HeaderFooterPageNumberInsert,Page Number,E:\Sripts\Leaner tracking\Practical\Images\Word\HeaderFooterPageNumberInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\HeaderFooterPageNumberInsert.png,Local Word VBA GetImageMso:HeaderFooterPageNumberInsert
HeaderInsertGallery,Header,E:\Sripts\Leaner tracking\Practical\Images\Word\HeaderInsertGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\HeaderInsertGallery.png,Local Word VBA GetImageMso:HeaderInsertGallery
HyperlinkInsert,Link,E:\Sripts\Leaner tracking\Practical\Images\Word\HyperlinkInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\HyperlinkInsert.png,Local Word VBA GetImageMso:HyperlinkInsert
HyphenationGallery,Hyphenation,E:\Sripts\Leaner tracking\Practical\Images\Word\HyphenationGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\HyphenationGallery.png,Local Word VBA GetImageMso:HyphenationMenu
IndentDecreaseWord,Decrease Indent,E:\Sripts\Leaner tracking\Practical\Images\Word\IndentDecreaseWord.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\IndentDecreaseWord.png,Local Word VBA GetImageMso:IndentDecreaseWord
IndentIncreaseWord,Increase Indent,E:\Sripts\Leaner tracking\Practical\Images\Word\IndentIncreaseWord.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\IndentIncreaseWord.png,Local Word VBA GetImageMso:IndentIncreaseWord
IndexInsert,Insert Index...,E:\Sripts\Leaner tracking\Practical\Images\Word\IndexInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\IndexInsert.png,Local Word VBA GetImageMso:IndexInsert
IndexMarkEntry,Mark Entry...,E:\Sripts\Leaner tracking\Practical\Images\Word\IndexMarkEntry.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\IndexMarkEntry.png,Local Word VBA GetImageMso:IndexMarkEntry
IndexUpdate,Update Index,E:\Sripts\Leaner tracking\Practical\Images\Word\IndexUpdate.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\IndexUpdate.png,Local Word VBA GetImageMso:IndexUpdate
Italic,Italic,E:\Sripts\Leaner tracking\Practical\Images\Word\Italic.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\Italic.png,Local Word VBA GetImageMso:Italic
LabelsDialog,Labels...,E:\Sripts\Leaner tracking\Practical\Images\Word\LabelsDialog.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\LabelsDialog.png,Local Word VBA GetImageMso:LabelsDialog
LegacyTools,LegacyTools,E:\Sripts\Leaner tracking\Practical\Images\Word\LegacyTools.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\LegacyTools.png,Local Word VBA GetImageMso:FormControlButton
LineNumberingGallery,Numbering,E:\Sripts\Leaner tracking\Practical\Images\Word\LineNumberingGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\LineNumberingGallery.png,Local Word VBA GetImageMso:Numbering
LineSpacing,LineSpacing,E:\Sripts\Leaner tracking\Practical\Images\Word\LineSpacing.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\LineSpacing.png,Local Word VBA GetImageMso:LineSpacing
MacroSecurity,Macro Security,E:\Sripts\Leaner tracking\Practical\Images\Word\MacroSecurity.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MacroSecurity.png,Local Word VBA GetImageMso:MacroSecurity
Macros,Macros,E:\Sripts\Leaner tracking\Practical\Images\Word\Macros.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\Macros.png,Local Word VBA GetImageMso:MacroPlay
MailMergeAddressBlockInsert,Address Block...,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeAddressBlockInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeAddressBlockInsert.png,Local Word VBA GetImageMso:MailMergeAddressBlockInsert
MailMergeCheckForErrors,Check for Errors...,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeCheckForErrors.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeCheckForErrors.png,Local Word VBA GetImageMso:MailMergeAutoCheckForErrors
MailMergeEditRecipientList,Edit Recipient List...,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeEditRecipientList.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeEditRecipientList.png,Local Word VBA GetImageMso:MailMergeRecipientsEditList
MailMergeFindRecipient,Find Recipient...,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeFindRecipient.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeFindRecipient.png,Local Word VBA GetImageMso:MailMergeFindRecipient
MailMergeFinishAndMerge,Edit Individual Documents...,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeFinishAndMerge.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeFinishAndMerge.png,Local Word VBA GetImageMso:MailMergeMergeToDocument
MailMergeGreetingLineInsert,Greeting Line...,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeGreetingLineInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeGreetingLineInsert.png,Local Word VBA GetImageMso:MailMergeGreetingLineInsert
MailMergeInsertMergeField,Mail Merge...,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeInsertMergeField.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeInsertMergeField.png,Local Word VBA GetImageMso:MailMergeHelper
MailMergeMatchFields,Match Fields...,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeMatchFields.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeMatchFields.png,Local Word VBA GetImageMso:MailMergeMatchFields
MailMergePreviewResults,Preview Results,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergePreviewResults.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergePreviewResults.png,Local Word VBA GetImageMso:MailMergeResultsPreview
MailMergeRules,Rules,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeRules.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeRules.png,Local Word VBA GetImageMso:MailMergeRules
MailMergeSelectRecipients,Select Recipients,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeSelectRecipients.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeSelectRecipients.png,Local Word VBA GetImageMso:MailMergeSelectRecipients
MailMergeStart,MailMergeStart,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeStart.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeStart.png,Local Word VBA GetImageMso:MailMergeStart
MailMergeUpdateLabels,Update Labels,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeUpdateLabels.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MailMergeUpdateLabels.png,Local Word VBA GetImageMso:MailMergeUpdateLabels
MultiLevelListGallery,Numbering,E:\Sripts\Leaner tracking\Practical\Images\Word\MultiLevelListGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\MultiLevelListGallery.png,Local Word VBA GetImageMso:Numbering
NavigationPaneShowHide,Navigation Pane,E:\Sripts\Leaner tracking\Practical\Images\Word\NavigationPaneShowHide.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\NavigationPaneShowHide.png,Local Word VBA GetImageMso:NavigationPaneShowHide
NewComment,NewComment,E:\Sripts\Leaner tracking\Practical\Images\Word\NewComment.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\NewComment.png,Local Word VBA GetImageMso:NewComment
NextChange,Next,E:\Sripts\Leaner tracking\Practical\Images\Word\NextChange.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\NextChange.png,Local Word VBA GetImageMso:ReviewNextChange
NextComment,Next,E:\Sripts\Leaner tracking\Practical\Images\Word\NextComment.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\NextComment.png,Local Word VBA GetImageMso:ReviewNextComment
Numbering,Numbering,E:\Sripts\Leaner tracking\Practical\Images\Word\Numbering.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\Numbering.png,Local Word VBA GetImageMso:Numbering
ObjectBringForward,Bring Forward,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectBringForward.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectBringForward.png,Local Word VBA GetImageMso:ObjectBringForward
ObjectPositionGallery,ObjectPositionGallery,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectPositionGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectPositionGallery.png,Local Word VBA GetImageMso:AboveText
ObjectRotateGallery,Rotate,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectRotateGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectRotateGallery.png,Local Word VBA GetImageMso:ObjectRotateGallery
ObjectSendBackward,Send Backward,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectSendBackward.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectSendBackward.png,Local Word VBA GetImageMso:ObjectSendBackward
ObjectsAlignMenu,ObjectsAlignMenu,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectsAlignMenu.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectsAlignMenu.png,Local Word VBA GetImageMso:ObjectsAlignLeft
ObjectsGroupMenu,Group,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectsGroupMenu.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ObjectsGroupMenu.png,Local Word VBA GetImageMso:ObjectsGroupMenu
OleObjectInsertMenu,Object,E:\Sripts\Leaner tracking\Practical\Images\Word\OleObjectInsertMenu.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\OleObjectInsertMenu.png,Local Word VBA GetImageMso:OleObjectInsertMenu
PageBordersDialog,PageBordersDialog,E:\Sripts\Leaner tracking\Practical\Images\Word\PageBordersDialog.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\PageBordersDialog.png,Local Word VBA GetImageMso:BordersAndShadingDialog
PageBreakInsertWord,Page Break,E:\Sripts\Leaner tracking\Practical\Images\Word\PageBreakInsertWord.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\PageBreakInsertWord.png,Local Word VBA GetImageMso:PageBreakInsertWord
PageColorPicker,Page Colour,E:\Sripts\Leaner tracking\Practical\Images\Word\PageColorPicker.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\PageColorPicker.png,Local Word VBA GetImageMso:PageColorPicker
PageInsert,PageInsert,E:\Sripts\Leaner tracking\Practical\Images\Word\PageInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\PageInsert.png,Local Word VBA GetImageMso:PageInsert
PageMarginsGallery,Margins,E:\Sripts\Leaner tracking\Practical\Images\Word\PageMarginsGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\PageMarginsGallery.png,Local Word VBA GetImageMso:PageMarginsGallery
PageOrientationGallery,Orientation,E:\Sripts\Leaner tracking\Practical\Images\Word\PageOrientationGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\PageOrientationGallery.png,Local Word VBA GetImageMso:PageOrientationGallery
PageSizeGallery,Size,E:\Sripts\Leaner tracking\Practical\Images\Word\PageSizeGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\PageSizeGallery.png,Local Word VBA GetImageMso:PageSizeGallery
ParagraphMarks,Show All,E:\Sripts\Leaner tracking\Practical\Images\Word\ParagraphMarks.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ParagraphMarks.png,Local Word VBA GetImageMso:ParagraphMarks
Paste,Paste,E:\Sripts\Leaner tracking\Practical\Images\Word\Paste.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\Paste.png,Local Word VBA GetImageMso:Paste
PictureInsertFromFile,Pictures...,E:\Sripts\Leaner tracking\Practical\Images\Word\PictureInsertFromFile.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\PictureInsertFromFile.png,Local Word VBA GetImageMso:PictureInsertFromFile
PreviousChange,Previous,E:\Sripts\Leaner tracking\Practical\Images\Word\PreviousChange.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\PreviousChange.png,Local Word VBA GetImageMso:ReviewPreviousChange
PreviousComment,Previous,E:\Sripts\Leaner tracking\Practical\Images\Word\PreviousComment.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\PreviousComment.png,Local Word VBA GetImageMso:ReviewPreviousComment
QuickPartsInsertGallery,Quick Parts,E:\Sripts\Leaner tracking\Practical\Images\Word\QuickPartsInsertGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\QuickPartsInsertGallery.png,Local Word VBA GetImageMso:QuickPartsInsertGallery
ReadAloud,Read Aloud,E:\Sripts\Leaner tracking\Practical\Images\Word\ReadAloud.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ReadAloud.png,Local Word VBA GetImageMso:ReadAloud
RecordMacro,Record Macro...,E:\Sripts\Leaner tracking\Practical\Images\Word\RecordMacro.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\RecordMacro.png,Local Word VBA GetImageMso:MacroRecord
RejectChange,Reject Change,E:\Sripts\Leaner tracking\Practical\Images\Word\RejectChange.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\RejectChange.png,Local Word VBA GetImageMso:ReviewRejectChange
ReplaceDialog,Replace...,E:\Sripts\Leaner tracking\Practical\Images\Word\ReplaceDialog.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ReplaceDialog.png,Local Word VBA GetImageMso:ReplaceDialog
ResearchPane,Research...,E:\Sripts\Leaner tracking\Practical\Images\Word\ResearchPane.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ResearchPane.png,Local Word VBA GetImageMso:ResearchPane
RestrictEditing,Lock,E:\Sripts\Leaner tracking\Practical\Images\Word\RestrictEditing.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\RestrictEditing.png,Local Word VBA GetImageMso:Lock
ReviewDisplayForReview,Display for Review,E:\Sripts\Leaner tracking\Practical\Images\Word\ReviewDisplayForReview.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ReviewDisplayForReview.png,Local Word VBA GetImageMso:ReviewDisplayForReview
ReviewShowMarkup,ReviewShowMarkup,E:\Sripts\Leaner tracking\Practical\Images\Word\ReviewShowMarkup.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ReviewShowMarkup.png,Local Word VBA GetImageMso:ReviewShowMarkup
ReviewingPane,ReviewingPane,E:\Sripts\Leaner tracking\Practical\Images\Word\ReviewingPane.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ReviewingPane.png,Local Word VBA GetImageMso:ReviewingPane
ScreenshotInsertGallery,Screenshot,E:\Sripts\Leaner tracking\Practical\Images\Word\ScreenshotInsertGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\ScreenshotInsertGallery.png,Local Word VBA GetImageMso:ScreenshotInsertGallery
SelectMenu,Select,E:\Sripts\Leaner tracking\Practical\Images\Word\SelectMenu.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\SelectMenu.png,Local Word VBA GetImageMso:SelectMenu
SelectionPane,Selection Pane...,E:\Sripts\Leaner tracking\Practical\Images\Word\SelectionPane.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\SelectionPane.png,Local Word VBA GetImageMso:SelectionPane
SetAsDefault,SetAsDefault,E:\Sripts\Leaner tracking\Practical\Images\Word\SetAsDefault.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\SetAsDefault.png,Local Word VBA GetImageMso:SetAsDefault
SetLanguage,Set Proofing Language...,E:\Sripts\Leaner tracking\Practical\Images\Word\SetLanguage.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\SetLanguage.png,Local Word VBA GetImageMso:SetLanguage
